Client Order ID,Order ID,Instrument,Side,Price,Quantity,Status,Reason,Transaction Time,
ORD23001001,aa1000,Rose,1,137,620,New,,20230903-224513.955
ORD23001002,aa1001,Rose,2,587,750,New,,20230903-224513.956
ORD23001003,aa1002,Rose,2,734,230,New,,20230903-224513.956
ORD23001004,aa1003,Rose,1,317,630,New,,20230903-224513.956
ORD23001005,aa1004,Rose,1,130,450,New,,20230903-224513.957
ORD23005001,aa5000,Rose,1,350,600,New,,20230903-224513.958
ORD23005002,aa5001,Rose,2,350,600,Pfill,,20230903-224513.958
ORD23005001,aa5000,Rose,1,350,600,Fill,,20230903-224513.958
ORD23006001,aa6000,Rose,1,101,170,Fill,,20230903-224513.958
ORD2300 5002,aa5001,Rose,2,101,170,pFill,,20230903-224513.958
ORD23006002,aa6001,Rose,1,101,220,Pfill,,20230903-224513.958
ORD23005002,aa5001,Rose,2,101,220,Fill,,20230903-224513.958
ORD23006003,aa6002,Rose,2,317,410,Pfill,,20230903-224513.958
ORD23001004,aa1003,Rose,1,317,410,Fill,,20230903-224513.958
ORD23006003,aa6002,Rose,2,286,320,Fill,,20230903-224513.958
ORD23006002,aa6001,Rose,1,286,320,Fill,,20230903-224513.958
ORD23006004,aa6003,Rose,1,492,260,New,,20230903-224513.958
ORD23006005,aa6004,Rose,2,492,260,Pfill,,20230903-224513.958
ORD23006004,aa6003,Rose,1,492,260,Fill,,20230903-224513.958
ORD23006006,aa6005,Rose,2,474,290,New,,20230903-224513.958
ORD23006007,aa6006,Rose,2,573,410,New,,20230903-224513.959
ORD23007001,aa7000,Rose,1,217,260,New,,20230903-224513.959

ORD23006005,aa6004,Rose,2,438,70,Fill,,20230903-224513.959
ORD23003002,aa3001,Rose,2,317,100,Fill,,20230903-224513.958
ORD23002002,aa2001,Rose,2,990,790,New,,20230903-224513.958
ORD23005002,aa5001,Rose,2,317,390,Fill,,20230903-224513.959
ORD23007002,aa7001,Rose,2,640,590,New,,20230903-224513.959
9
ORD23003,aa2,Rose,2,974,330,Fill,,20230903-224513.959
3.959
ORD23002003,aa2002,Rose,1,974,330,Fill,,20230903-224513.959
ORD23002003,aa2002,Rose,1,734,220,Fill,,20230903-224513.959
ORD2300 1003,aa1002,Rose,2,734,220,pFill,,20230903-224513.959
ORD23002003,aa2002,Rose,1,974,30,Fill,,20230903-224513.959
ORD23004,aa3,Rose,2,317,190,Fill,,20230903-224513.959
959
ORD23002005,aa2004,Rose,1,617,450,New,,20230903-224513.959

ORD23002006,aa2005,Rose,2,658,980,Fill,,20230903-224513.959
ORD23002004,aa2003,Rose,1,658,980,Fill,,20230903-224513.959
ORD23006,aa5,Rose,2,658,460,Fill,,20230903-224513.959
ORD23002004,aa2003,Rose,1,658,460,Fill,,20230903-224513.959OORD23007,aa6,Rose,1,734,10,Pfill,,20230903-224513.959
959
